epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2727.76,1.36901,0.66685,0.96095,0.83489,0.56135,0.64087,0.35151,1.36013,0.60431,0.98198,0.002872,0.002872,0.002872
74,2762.83,1.36339,0.66146,0.95795,0.83319,0.56206,0.64118,0.35169,1.3598,0.60351,0.98188,0.002773,0.002773,0.002773
75,2799.59,1.37156,0.66328,0.95582,0.83257,0.56174,0.64094,0.35148,1.35997,0.60361,0.98146,0.002674,0.002674,0.002674
76,2836.62,1.36495,0.65771,0.95582,0.83286,0.56205,0.64076,0.35084,1.36105,0.60288,0.98222,0.002575,0.002575,0.002575
77,2873.25,1.36093,0.65655,0.95709,0.83443,0.56089,0.64071,0.35114,1.36079,0.60281,0.98232,0.002476,0.002476,0.002476
78,2909.66,1.36831,0.66366,0.95582,0.83413,0.56145,0.64104,0.35144,1.36018,0.60259,0.98218,0.002377,0.002377,0.002377
79,2947.08,1.35958,0.6569,0.95534,0.83586,0.56055,0.64084,0.35147,1.36049,0.60253,0.98243,0.002278,0.002278,0.002278
80,2983.94,1.35203,0.65319,0.95137,0.83565,0.56153,0.64071,0.35165,1.36088,0.60245,0.98243,0.002179,0.002179,0.002179
81,3021.2,1.35364,0.65154,0.95407,0.83798,0.55971,0.64077,0.35193,1.36098,0.60269,0.98232,0.00208,0.00208,0.00208
82,3058.61,1.34799,0.6479,0.95169,0.83712,0.56073,0.64104,0.35165,1.36213,0.60263,0.98246,0.001981,0.001981,0.001981
83,3095.31,1.34717,0.64825,0.95205,0.83455,0.56151,0.64143,0.3519,1.36212,0.60211,0.9825,0.001882,0.001882,0.001882
84,3131.58,1.34102,0.64476,0.94878,0.83531,0.56138,0.64124,0.35174,1.36239,0.60198,0.98249,0.001783,0.001783,0.001783
85,3167.86,1.35018,0.64734,0.95287,0.83488,0.56197,0.64151,0.35171,1.36309,0.60212,0.98263,0.001684,0.001684,0.001684
86,3203.31,1.34145,0.64265,0.94816,0.83451,0.56169,0.64161,0.35159,1.36388,0.6024,0.98288,0.001585,0.001585,0.001585
87,3239.62,1.34102,0.64215,0.94824,0.83721,0.56099,0.6414,0.35134,1.36455,0.60219,0.98305,0.001486,0.001486,0.001486
88,3277,1.32996,0.63564,0.94812,0.83789,0.56034,0.64146,0.3515,1.36459,0.60233,0.98312,0.001387,0.001387,0.001387
89,3313.93,1.33376,0.63774,0.94869,0.83778,0.56056,0.64116,0.35126,1.36511,0.60233,0.98332,0.001288,0.001288,0.001288
90,3350.34,1.33337,0.63746,0.94675,0.83639,0.5624,0.64193,0.35122,1.36555,0.6024,0.98354,0.001189,0.001189,0.001189
91,3387.05,1.30957,0.61227,0.94729,0.83575,0.56276,0.64208,0.35161,1.36559,0.60223,0.98359,0.00109,0.00109,0.00109
92,3493.62,1.30125,0.60369,0.94483,0.8366,0.56245,0.64203,0.35097,1.36549,0.60225,0.9836,0.000991,0.000991,0.000991
93,3527.96,1.29325,0.59902,0.94111,0.83539,0.56246,0.64169,0.35097,1.3656,0.60247,0.98384,0.000892,0.000892,0.000892
94,3562.55,1.29262,0.59849,0.94143,0.83599,0.56227,0.64179,0.35108,1.36562,0.60243,0.98399,0.000793,0.000793,0.000793
95,3598.83,1.28478,0.59256,0.93893,0.83499,0.5622,0.64159,0.35096,1.36612,0.60262,0.9843,0.000694,0.000694,0.000694
96,3634.73,1.28226,0.59218,0.93729,0.83544,0.5624,0.64217,0.35101,1.36628,0.60277,0.98444,0.000595,0.000595,0.000595
97,3669.7,1.28027,0.59068,0.93631,0.83355,0.56321,0.64195,0.35119,1.36717,0.60278,0.98465,0.000496,0.000496,0.000496
98,3704.75,1.27896,0.58801,0.93873,0.83482,0.56233,0.64168,0.35133,1.36763,0.60331,0.98493,0.000397,0.000397,0.000397
99,3740.02,1.26883,0.58271,0.93438,0.8359,0.56171,0.64139,0.3512,1.36795,0.60317,0.98516,0.000298,0.000298,0.000298
100,3775.32,1.26844,0.58262,0.93499,0.83621,0.56148,0.64128,0.35109,1.36808,0.60333,0.98527,0.000199,0.000199,0.000199
